"record_index","accuracy","precision","recall","f1","sensitivity","specificity","jaccard","prediction","actual"
4,1,1,1,1,1,1,1,"Basic sutures and suture removal","Basic sutures and suture removal"
5,0.956521739130435,0,0,0,0,1,0,"","Aseptic technique"
8,1,1,1,1,1,1,1,"Venous blood sampling","Venous blood sampling"
9,0.782608695652174,1,0.166666666666667,0.285714285714286,0.166666666666667,1,0.166666666666667,"Rapid bedside ultrasound (including FAST) for cinical decision-making","Skin antisepsis,Rapid bedside ultrasound (including FAST) for cinical decision-making,Aseptic technique,Surgical hand washing,Gowning techniques in the operating room,Basic sutures and suture removal"
10,1,1,1,1,1,1,1,"Basic sutures and suture removal","Basic sutures and suture removal"
11,0.91304347826087,1,0.333333333333333,0.5,0.333333333333333,1,0.333333333333333,"Basic sutures and suture removal","Surgical hand washing,Gowning techniques in the operating room,Basic sutures and suture removal"
12,1,1,1,1,1,1,1,"Venous blood sampling","Venous blood sampling"
13,1,1,1,1,1,1,1,"Surgical hand washing,Gowning techniques in the operating room,Basic sutures and suture removal","Surgical hand washing,Gowning techniques in the operating room,Basic sutures and suture removal"
14,0.826086956521739,1,0.2,0.333333333333333,0.2,1,0.2,"Basic sutures and suture removal","Position change, transfer,Insertion and extraction of urinary catheter,Surgical hand washing,Gowning techniques in the operating room,Basic sutures and suture removal"
15,0.91304347826087,1,0.333333333333333,0.5,0.333333333333333,1,0.333333333333333,"Surgical hand washing","Surgical hand washing,Gowning techniques in the operating room,Basic sutures and suture removal"
17,0.869565217391304,1,0.25,0.4,0.25,1,0.25,"Surgical hand washing","Aseptic technique,Surgical hand washing,Gowning techniques in the operating room,Basic sutures and suture removal"
19,1,1,1,1,1,1,1,"Blood glucose test","Blood glucose test"
22,0.91304347826087,1,0.5,0.666666666666667,0.5,1,0.5,"Surgical hand washing,Basic sutures and suture removal","Aseptic technique,Surgical hand washing,Gowning techniques in the operating room,Basic sutures and suture removal"
25,0.782608695652174,1,0.166666666666667,0.285714285714286,0.166666666666667,1,0.166666666666667,"Gowning techniques in the operating room","Position change, transfer,Skin antisepsis,Aseptic technique,Surgical hand washing,Gowning techniques in the operating room,Basic sutures and suture removal"
27,0.956521739130435,0,0,0,0,1,0,"","Position change, transfer"
29,0.869565217391304,1,0.25,0.4,0.25,1,0.25,"Basic sutures and suture removal","Position change, transfer,Surgical hand washing,Gowning techniques in the operating room,Basic sutures and suture removal"
30,0.956521739130435,0,0,0,0,1,0,"","Blood glucose test"
32,0.826086956521739,1,0.2,0.333333333333333,0.2,1,0.2,"Basic sutures and suture removal","Skin antisepsis,Aseptic technique,Surgical hand washing,Gowning techniques in the operating room,Basic sutures and suture removal"
33,1,1,1,1,1,1,1,"Skin antisepsis,Position change, transfer","Skin antisepsis,Position change, transfer"
35,0.782608695652174,0.285714285714286,1,0.444444444444444,1,0.761904761904762,0.285714285714286,"Peripheral venous catheterization,Insertion and extraction of nasogastric tube,Insertion and extraction of urinary catheter,Aseptic technique,Surgical hand washing,Gowning techniques in the operating room,Basic sutures and suture removal","Peripheral venous catheterization,Aseptic technique"
36,1,1,1,1,1,1,1,"Blood glucose test","Blood glucose test"
40,1,1,1,1,1,1,1,"Skin antisepsis","Skin antisepsis"
